City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
coruripe,100.0,br,1585505345,75.0,-10.13,-36.18,83.17,13.96
luderitz,0.0,na,1585505345,64.0,-26.65,15.16,68.0,19.46
albany,90.0,au,1585505346,77.0,-35.02,117.89,60.8,5.82
ilulissat,100.0,gl,1585505108,97.0,69.22,-51.1,32.0,3.36
alice springs,68.0,au,1585505064,35.0,-23.7,133.88,71.6,1.12
tiksi,81.0,ru,1585505112,90.0,71.69,128.87,-3.39,3.2
rikitea,59.0,pf,1585505347,80.0,-23.12,-134.97,79.21,11.72
chuy,30.0,uy,1585505348,61.0,-33.7,-53.46,80.4,4.12
alvorada,73.0,br,1585505348,63.0,-12.48,-49.12,85.6,7.54
upernavik,100.0,gl,1585505121,94.0,72.79,-56.15,11.39,11.54
bage,20.0,br,1585505349,54.0,-31.33,-54.11,84.2,11.41
victoria,20.0,sc,1585505350,74.0,-4.62,55.45,84.2,5.82
campamento,6.0,hn,1585505350,16.0,14.55,-86.65,89.98,7.96
yaqui,75.0,mx,1585505350,42.0,27.37,-110.17,68.0,5.82
severo-kurilsk,80.0,ru,1585505351,91.0,50.68,156.12,27.3,16.67
mackenzie,100.0,ca,1585505351,78.0,55.3,-123.17,10.4,16.11
ushuaia,75.0,ar,1585505183,66.0,-54.8,-68.3,48.2,3.36
cidreira,35.0,br,1585505067,65.0,-30.18,-50.21,80.26,10.29
jamestown,27.0,sh,1585505352,77.0,-15.94,-5.72,71.55,18.5
vaini,75.0,to,1585505353,94.0,-21.2,-175.2,77.0,4.7
hinatuan,92.0,ph,1585505353,85.0,8.37,126.33,77.9,4.65
ribeira grande,47.0,pt,1585505354,76.0,38.52,-28.7,58.73,18.99
cape town,0.0,za,1585505067,67.0,-33.93,18.42,64.0,20.8
yichun,31.0,cn,1585505354,72.0,47.7,128.9,33.01,6.67
busselton,44.0,au,1585505354,73.0,-33.65,115.33,59.5,3.22
punta arenas,75.0,cl,1585505355,54.0,-53.15,-70.92,53.6,24.16
lompoc,40.0,us,1585505355,59.0,34.64,-120.46,64.99,6.93
qaanaaq,100.0,gl,1585505356,91.0,77.48,-69.36,6.55,7.96
casablanca,20.0,ma,1585505163,55.0,33.59,-7.62,64.4,9.17
manta,75.0,ec,1585505356,74.0,-0.95,-80.73,82.4,5.82
half moon bay,90.0,us,1585505356,82.0,37.46,-122.43,57.2,10.29
saint-philippe,20.0,re,1585505357,88.0,-21.36,55.77,78.8,4.7
port elizabeth,40.0,za,1585505357,82.0,-33.92,25.57,62.6,11.41
sitka,90.0,us,1585505174,50.0,57.05,-135.33,33.8,8.05
talnakh,75.0,ru,1585505358,85.0,69.49,88.4,21.2,17.9
moengo,99.0,sr,1585505359,87.0,5.62,-54.4,79.99,10.0
fethiye,75.0,tr,1585505360,76.0,36.62,29.12,57.2,5.82
owando,21.0,cg,1585505360,57.0,-0.48,15.9,81.77,2.53
mulanje,28.0,mw,1585505361,73.0,-16.03,35.5,69.22,6.87
crotone,1.0,it,1585505361,76.0,39.09,17.12,55.4,6.93
atuona,5.0,pf,1585505361,78.0,-9.8,-139.03,82.15,18.23
staryy nadym,28.0,ru,1585505362,94.0,65.61,72.68,24.04,20.02
tasiilaq,100.0,gl,1585505362,100.0,65.61,-37.64,35.6,10.29
udachnyy,90.0,ru,1585505364,92.0,66.42,112.4,10.4,2.24
port alfred,10.0,za,1585505105,87.0,-33.59,26.89,64.99,4.0
hithadhoo,96.0,mv,1585505405,63.0,-0.6,73.08,84.6,7.27
christchurch,68.0,nz,1585505341,93.0,-43.53,172.63,55.99,6.93
nanortalik,100.0,gl,1585505405,92.0,60.14,-45.24,37.36,22.19
khatanga,98.0,ru,1585505405,91.0,71.97,102.5,-10.75,1.16
ancud,9.0,cl,1585505406,58.0,-41.87,-73.82,59.0,5.82
fortuna,20.0,us,1585505406,76.0,40.6,-124.16,57.2,13.87
carutapera,33.0,br,1585505407,72.0,-1.2,-46.02,84.99,11.1
amahai,92.0,id,1585505407,79.0,-3.33,128.92,80.06,6.17
tuktoyaktuk,75.0,ca,1585505408,74.0,69.45,-133.04,-23.8,8.05
mokolo,97.0,cm,1585505408,14.0,10.74,13.8,87.3,3.27
richards bay,13.0,za,1585505408,81.0,-28.78,32.04,75.13,5.03
hobart,14.0,au,1585505182,59.0,-42.88,147.33,60.8,10.29
